name,rating,genres,tags
Fallen Hero: Rebirth,4.57,"Adventure, RPG, Indie","Singleplayer, Steam Achievements, Steam Cloud, RPG, Captions available"
Flowers -Le volume sur ete,4.57,Casual,"Singleplayer, Steam Cloud, Female Protagonist, Anime, Visual Novel"
SuperTuxKart,4.57,"Action, Racing","Cult Classic, race, open-source"
Dai Gyakuten Saiban 2: Naruhodō Ryūnosuke no Kakugo (Ace Attorney),4.57,Adventure,fan-translation
Volfied (1989),4.57,Action,"2 players, alternating turns"
Kick Master,4.57,"Action, Platformer",Singleplayer
StarCraft II: Heart of the Swarm,4.57,Strategy,
Emergency 4: Global Fighters for Life,4.57,Strategy,
Sub Culture,4.57,Arcade,
X-Tension,4.57,Simulation,
Pang,4.57,Arcade,
MechCommander,4.57,Strategy,
Yo-kai Watch 2: Fleshy Souls,4.57,RPG,"role-playing, exclusive, true exclusive"
The Legend of Zelda: The Wind Waker HD,4.57,Adventure,"exclusive, true exclusive"
Aliens: Infestation,4.57,"Shooter, Platformer","exclusive, true exclusive"
planetarian HD,4.57,"Adventure, Simulation, Casual","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, Anime"
The Enchanted Cave 2,4.57,"Adventure, RPG, Indie","Singleplayer, Steam Achievements, Steam Cloud, steam-trading-cards, RPG"
Sky Force 2014,4.57,"Action, Arcade, Casual","achievements, battle, fight, guns, shoot"
Angry Goy,4.56,Action,"controversial, freeware, kusoge"
Outer Wilds - Echoes of the Eye,4.56,Adventure,
Hazumi and the Pregnation,4.56,"RPG, Indie","Singleplayer, Steam Achievements, Partial Controller Support, stats, Nudity"
Kingdom Hearts II Final Mix,4.56,"Action, RPG","Fantasy, friends, collection, japan, square"
Rush Rally 3,4.56,"Simulation, Sports, Racing, Indie","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud"
StarCraft: Brood War,4.56,Strategy,
Online Soccer Manager (OSM),4.56,"Simulation, Sports","Management, online, friends, fun, Football"
Hide Online - Hunters vs Props,4.56,"Action, RPG","Multiplayer, online, hunt, escape, room"
